역명,주소,사유
몽촌토성(평화의문),서울특별시 송파구 올림픽로 지하383(신천동),'NoneType' object is not subscriptable
잠실(송파구청),서울특별시 송파구 올림픽로 305(신천동),'NoneType' object is not subscriptable
석촌,서울특별시 송파구 송파대로 지하439(석촌동),'NoneType' object is not subscriptable
송파,서울특별시 송파구 송파대로 지하354(가락동),'NoneType' object is not subscriptable
가락시장,서울특별시 송파구 송파대로 지하257(가락동),'NoneType' object is not subscriptable
문정,서울특별시 송파구 송파대로 지하179(문정동),'NoneType' object is not subscriptable
장지,서울특별시 송파구 송파대로 지하82(장지동),'NoneType' object is not subscriptable
복정,서울특별시 송파구 송파대로 지하6(장지동),'NoneType' object is not subscriptable
남위례,경기도 성남시 수정구 공원로 601(복정동),'NoneType' object is not subscriptable
산성,경기도 성남시 수정구 수정로 지하365(신흥동),'NoneType' object is not subscriptable
남한산성입구(성남법원?검찰청),경기도 성남시 수정구 산성대로 지하445(단대동),'NoneType' object is not subscriptable
단대오거리,경기도 성남시 수정구 산성대로 지하365(신흥동),'NoneType' object is not subscriptable
신흥,경기도 성남시 수정구 산성대로 지하280(신흥동),'NoneType' object is not subscriptable
수진,경기도 성남시 수정구 산성대로 지하200(수진동),'NoneType' object is not subscriptable
모란,경기도 성남시 수정구 산성대로 지하100(수진동),'NoneType' object is not subscriptable
언주,서울특별시 강남구 봉은사로 지하201(논현동),'NoneType' object is not subscriptable
선정릉,서울특별시 강남구 선릉로 지하580(삼성동),'NoneType' object is not subscriptable
삼성중앙,서울특별시 강남구 봉은사로 지하501(삼성동),'NoneType' object is not subscriptable
봉은사,서울특별시 강남구 봉은사로 지하601(삼성동),'NoneType' object is not subscriptable
종합운동장,서울특별시 송파구 올림픽로 49(잠실동),'NoneType' object is not subscriptable
삼전,서울특별시 송파구 백제고분로 지하189(잠실동),'NoneType' object is not subscriptable
석촌고분,서울특별시 송파구 백제고분로 지하274(삼전동),'NoneType' object is not subscriptable
석촌,서울특별시 송파구 송파대로 지하439(석촌동),'NoneType' object is not subscriptable
송파나루,서울특별시 송파구 백제고분로 지하446(방이동),'NoneType' object is not subscriptable
한성백제,서울특별시 송파구 위례성대로 지하29(방이동),'NoneType' object is not subscriptable
올림픽공원(한국체대),서울특별시 송파구 양재대로 지하1233(방이동),'NoneType' object is not subscriptable
둔촌오륜,서울특별시 강동구 강동대로 지하303(둔촌동),'NoneType' object is not subscriptable
중앙보훈병원,서울특별시 강동구 동남로 지하625(둔촌동),'NoneType' object is not subscriptable
